filename,num_nodes,num_relations,has_labels
AALI_2023.pt,23041,25176,TRUE
AALI_2024.pt,21357,23247,TRUE
ABBA_2021.pt,12397,13941,TRUE
ABBA_2022.pt,26955,29890,TRUE
ABBA_2023.pt,29240,32402,TRUE
ABMM_2021.pt,40283,43781,TRUE
ABMM_2022.pt,28747,31233,TRUE
ABMM_2023.pt,39282,42996,TRUE
ABMM_2024.pt,30093,32788,TRUE
ACES_2023.pt,12307,13488,TRUE
ACES_2024.pt,17634,19425,TRUE
ACST_2021.pt,19369,20952,TRUE
ACST_2022.pt,21895,23756,TRUE
ACST_2023.pt,29193,31851,TRUE
ACST_2024.pt,32102,35202,TRUE
ADCP_2024.pt,32552,35537,TRUE
ADES_2021.pt,12906,14176,TRUE
ADES_2022.pt,11970,13142,TRUE
ADES_2023.pt,13911,15346,TRUE
ADES_2024.pt,14769,16248,TRUE
ADHI_2021.pt,26267,28805,TRUE
ADHI_2022.pt,62244,67202,TRUE
ADHI_2024.pt,64971,71013,TRUE
ADMG_2021.pt,18974,20735,TRUE
ADMG_2022.pt,20536,22624,TRUE
ADMG_2023.pt,21283,23435,TRUE
ADMG_2024.pt,21343,23489,TRUE
ADMR_2024.pt,26755,29429,TRUE
ADRO_2021.pt,26797,29341,TRUE
ADRO_2022.pt,23659,26227,TRUE
ADRO_2023.pt,23648,26005,TRUE
ADRO_2024.pt,26371,28944,TRUE
ANTM_2022.pt,50563,55252,TRUE
APLN_2024.pt,38143,41482,TRUE
AUTO_2024.pt,24322,26636,TRUE
BAUT_2024.pt,18308,20179,TRUE
BINO_2024.pt,21350,23461,TRUE
BISI_2024.pt,14676,15995,TRUE
DGIK_2024.pt,34934,38391,TRUE
DOID_2024.pt,29125,31974,TRUE
GHON_2023.pt,18815,20694,TRUE
HDIT_2024.pt,20569,22964,TRUE
IBOS_2024.pt,13839,15099,TRUE
INTD_2024.pt,14408,15916,TRUE
KOIN_2021.pt,16175,17610,TRUE
LAPD_2024.pt,4558,5103,TRUE
MAPI_2024.pt,22501,24530,TRUE
MFMI_2024.pt,9944,10983,TRUE
PBSA_2024.pt,15445,16933,TRUE
POWR_2023.pt,21843,24206,TRUE
PPRO_2024.pt,44130,47966,TRUE
PUDP_2024.pt,13754,15094,TRUE
RODA_2024.pt,13879,15002,TRUE
ROTI_2021.pt,16031,17479,TRUE
SEMA_2024.pt,11701,12818,TRUE
SKRN_2024.pt,22289,24483,TRUE
SOSS_2024.pt,16210,17865,TRUE
SSMS_2022.pt,23832,26025,TRUE
SSTM_2023.pt,12265,13401,TRUE
WEGE_2021.pt,37642,40874,TRUE
