filename,num_nodes,num_relations,has_labels
AALI_2023.pt,23041,26686,TRUE
AALI_2024.pt,21357,24674,TRUE
ABBA_2021.pt,12397,14933,TRUE
ABBA_2022.pt,26955,31830,TRUE
ABBA_2023.pt,29240,34496,TRUE
ABMM_2021.pt,40283,46427,TRUE
ABMM_2022.pt,28747,33156,TRUE
ABMM_2023.pt,39282,45555,TRUE
ABMM_2024.pt,30093,34833,TRUE
ACES_2023.pt,12307,14426,TRUE
ACES_2024.pt,17634,20691,TRUE
ACST_2021.pt,19369,22256,TRUE
ACST_2022.pt,21895,25230,TRUE
ACST_2023.pt,29193,33828,TRUE
ACST_2024.pt,32102,37320,TRUE
ADCP_2024.pt,32552,37751,TRUE
ADES_2021.pt,12906,14958,TRUE
ADES_2022.pt,11970,13873,TRUE
ADES_2023.pt,13911,16192,TRUE
ADES_2024.pt,14769,17129,TRUE
ADHI_2021.pt,26267,30549,TRUE
ADHI_2022.pt,62244,71564,TRUE
ADHI_2024.pt,64971,75200,TRUE
ADMG_2021.pt,18974,21996,TRUE
ADMG_2022.pt,20536,23976,TRUE
ADMG_2023.pt,21283,24897,TRUE
ADMG_2024.pt,21343,24895,TRUE
ADMR_2024.pt,26755,31066,TRUE
ADRO_2021.pt,26797,31043,TRUE
ADRO_2022.pt,23659,27596,TRUE
ADRO_2023.pt,23648,27453,TRUE
ADRO_2024.pt,26371,30567,TRUE
ANTM_2022.pt,50563,58323,TRUE
APLN_2024.pt,38143,43931,TRUE
AUTO_2024.pt,24322,28163,TRUE
BAUT_2024.pt,18308,21403,TRUE
BINO_2024.pt,21350,24897,TRUE
BISI_2024.pt,14676,16947,TRUE
DGIK_2024.pt,34934,40636,TRUE
DOID_2024.pt,29125,33849,TRUE
GHON_2023.pt,18815,21869,TRUE
HDIT_2024.pt,20569,24174,TRUE
IBOS_2024.pt,13839,15995,TRUE
INTD_2024.pt,14408,16881,TRUE
KOIN_2021.pt,16175,18670,TRUE
LAPD_2024.pt,4558,5386,TRUE
MAPI_2024.pt,22501,26001,TRUE
MFMI_2024.pt,9944,11613,TRUE
PBSA_2024.pt,15445,17936,TRUE
POWR_2023.pt,21843,25569,TRUE
PPRO_2024.pt,44130,51365,TRUE
PUDP_2024.pt,13754,16024,TRUE
RODA_2024.pt,13879,15938,TRUE
ROTI_2021.pt,16031,18630,TRUE
SEMA_2024.pt,11701,13590,TRUE
SKRN_2024.pt,22289,25920,TRUE
SOSS_2024.pt,16210,18962,TRUE
SSMS_2022.pt,23832,27543,TRUE
SSTM_2023.pt,12265,14191,TRUE
WEGE_2021.pt,37642,43636,TRUE
