filename,num_nodes,num_relations,has_labels
AALI_2023.pt,24552,49726,TRUE
AALI_2024.pt,22785,46030,TRUE
ABBA_2021.pt,13390,27329,TRUE
ABBA_2022.pt,28896,58784,TRUE
ABBA_2023.pt,31335,63735,TRUE
ABMM_2021.pt,42930,86709,TRUE
ABMM_2022.pt,30671,61902,TRUE
ABMM_2023.pt,41842,84836,TRUE
ABMM_2024.pt,32139,64925,TRUE
ACES_2023.pt,13246,26732,TRUE
ACES_2024.pt,18901,38324,TRUE
ACST_2021.pt,20674,41624,TRUE
ACST_2022.pt,23370,47124,TRUE
ACST_2023.pt,31171,63020,TRUE
ACST_2024.pt,34221,69421,TRUE
ADCP_2024.pt,34767,70302,TRUE
ADES_2021.pt,13689,27863,TRUE
ADES_2022.pt,12702,25842,TRUE
ADES_2023.pt,14758,30102,TRUE
ADES_2024.pt,15651,31897,TRUE
ADHI_2021.pt,28012,56815,TRUE
ADHI_2022.pt,66607,133807,TRUE
ADHI_2024.pt,69159,140170,TRUE
ADMG_2021.pt,20236,40969,TRUE
ADMG_2022.pt,21889,44511,TRUE
ADMG_2023.pt,22746,46179,TRUE
ADMG_2024.pt,22750,46237,TRUE
ADMR_2024.pt,28393,57820,TRUE
ADRO_2021.pt,28500,57839,TRUE
ADRO_2022.pt,25029,51254,TRUE
ADRO_2023.pt,25097,51100,TRUE
ADRO_2024.pt,27995,56937,TRUE
ANTM_2022.pt,53635,108885,TRUE
APLN_2024.pt,40593,82073,TRUE
AUTO_2024.pt,25850,52484,TRUE
BAUT_2024.pt,19533,39710,TRUE
BINO_2024.pt,22787,46246,TRUE
BISI_2024.pt,15629,31622,TRUE
DGIK_2024.pt,37180,75569,TRUE
DOID_2024.pt,31001,62973,TRUE
GHON_2023.pt,19991,40683,TRUE
HDIT_2024.pt,21780,44742,TRUE
IBOS_2024.pt,14736,29833,TRUE
INTD_2024.pt,15374,31288,TRUE
KOIN_2021.pt,17236,34844,TRUE
LAPD_2024.pt,4842,9943,TRUE
MAPI_2024.pt,23973,48501,TRUE
MFMI_2024.pt,10575,21556,TRUE
PBSA_2024.pt,16449,33380,TRUE
POWR_2023.pt,23207,47411,TRUE
PPRO_2024.pt,47530,95494,TRUE
PUDP_2024.pt,14685,29777,TRUE
RODA_2024.pt,14816,29816,TRUE
ROTI_2021.pt,17183,34660,TRUE
SEMA_2024.pt,12474,25290,TRUE
SKRN_2024.pt,23727,48208,TRUE
SOSS_2024.pt,17308,35171,TRUE
SSMS_2022.pt,25351,51374,TRUE
SSTM_2023.pt,13056,26455,TRUE
WEGE_2021.pt,40405,81277,TRUE
