filename,num_nodes,num_relations,has_labels
AALI_2023.pt,24552,72766,TRUE
AALI_2024.pt,22785,67386,TRUE
ABBA_2021.pt,13390,39725,TRUE
ABBA_2022.pt,28896,85738,TRUE
ABBA_2023.pt,31335,92974,TRUE
ABMM_2021.pt,42930,126991,TRUE
ABMM_2022.pt,30671,90648,TRUE
ABMM_2023.pt,41842,124117,TRUE
ABMM_2024.pt,32139,95017,TRUE
ACES_2023.pt,13246,39038,TRUE
ACES_2024.pt,18901,55957,TRUE
ACST_2021.pt,20674,60992,TRUE
ACST_2022.pt,23370,69018,TRUE
ACST_2023.pt,31171,92212,TRUE
ACST_2024.pt,34221,101522,TRUE
ADCP_2024.pt,34767,102853,TRUE
ADES_2021.pt,13689,40768,TRUE
ADES_2022.pt,12702,37811,TRUE
ADES_2023.pt,14758,44012,TRUE
ADES_2024.pt,15651,46665,TRUE
ADHI_2021.pt,28012,83081,TRUE
ADHI_2022.pt,66607,196050,TRUE
ADHI_2024.pt,69159,205140,TRUE
ADMG_2021.pt,20236,59942,TRUE
ADMG_2022.pt,21889,65046,TRUE
ADMG_2023.pt,22746,67461,TRUE
ADMG_2024.pt,22750,67579,TRUE
ADMR_2024.pt,28393,84574,TRUE
ADRO_2021.pt,28500,84635,TRUE
ADRO_2022.pt,25029,74912,TRUE
ADRO_2023.pt,25097,74747,TRUE
ADRO_2024.pt,27995,83307,TRUE
ANTM_2022.pt,53635,159447,TRUE
APLN_2024.pt,40593,120215,TRUE
AUTO_2024.pt,25850,76805,TRUE
BAUT_2024.pt,19533,58017,TRUE
BINO_2024.pt,22787,67595,TRUE
BISI_2024.pt,15629,46297,TRUE
DGIK_2024.pt,37180,110502,TRUE
DOID_2024.pt,31001,92097,TRUE
GHON_2023.pt,19991,59497,TRUE
HDIT_2024.pt,21780,65310,TRUE
IBOS_2024.pt,14736,43671,TRUE
INTD_2024.pt,15374,45695,TRUE
KOIN_2021.pt,17236,51018,TRUE
LAPD_2024.pt,4842,14500,TRUE
MAPI_2024.pt,23973,71001,TRUE
MFMI_2024.pt,10575,31499,TRUE
PBSA_2024.pt,16449,48824,TRUE
POWR_2023.pt,23207,69253,TRUE
PPRO_2024.pt,47530,139623,TRUE
PUDP_2024.pt,14685,43530,TRUE
RODA_2024.pt,14816,43694,TRUE
ROTI_2021.pt,17183,50690,TRUE
SEMA_2024.pt,12474,36990,TRUE
SKRN_2024.pt,23727,70496,TRUE
SOSS_2024.pt,17308,51380,TRUE
SSMS_2022.pt,25351,75205,TRUE
SSTM_2023.pt,13056,38719,TRUE
WEGE_2021.pt,40405,118918,TRUE
