filename,num_nodes,num_relations,has_labels
AALI_2023.pt,23041,46705,TRUE
AALI_2024.pt,21357,43175,TRUE
ABBA_2021.pt,12397,25344,TRUE
ABBA_2022.pt,26955,54903,TRUE
ABBA_2023.pt,29240,59546,TRUE
ABMM_2021.pt,40283,81416,TRUE
ABMM_2022.pt,28747,58055,TRUE
ABMM_2023.pt,39282,79717,TRUE
ABMM_2024.pt,30093,60834,TRUE
ACES_2023.pt,12307,24855,TRUE
ACES_2024.pt,17634,35791,TRUE
ACST_2021.pt,19369,39015,TRUE
ACST_2022.pt,21895,44175,TRUE
ACST_2023.pt,29193,59065,TRUE
ACST_2024.pt,32102,65184,TRUE
ADCP_2024.pt,32552,65873,TRUE
ADES_2021.pt,12906,26298,TRUE
ADES_2022.pt,11970,24379,TRUE
ADES_2023.pt,13911,28409,TRUE
ADES_2024.pt,14769,30134,TRUE
ADHI_2021.pt,26267,53326,TRUE
ADHI_2022.pt,62244,125082,TRUE
ADHI_2024.pt,64971,131795,TRUE
ADMG_2021.pt,18974,38446,TRUE
ADMG_2022.pt,20536,41806,TRUE
ADMG_2023.pt,21283,43254,TRUE
ADMG_2024.pt,21343,43424,TRUE
ADMR_2024.pt,26755,54545,TRUE
ADRO_2021.pt,26797,54434,TRUE
ADRO_2022.pt,23659,48515,TRUE
ADRO_2023.pt,23648,48203,TRUE
ADRO_2024.pt,26371,53690,TRUE
ANTM_2022.pt,50563,102742,TRUE
APLN_2024.pt,38143,77174,TRUE
AUTO_2024.pt,24322,49429,TRUE
BAUT_2024.pt,18308,37261,TRUE
BINO_2024.pt,21350,43373,TRUE
BISI_2024.pt,14676,29717,TRUE
DGIK_2024.pt,34934,71078,TRUE
DOID_2024.pt,29125,59222,TRUE
GHON_2023.pt,18815,38332,TRUE
HDIT_2024.pt,20569,42321,TRUE
IBOS_2024.pt,13839,28040,TRUE
INTD_2024.pt,14408,29357,TRUE
KOIN_2021.pt,16175,32723,TRUE
LAPD_2024.pt,4558,9376,TRUE
MAPI_2024.pt,22501,45558,TRUE
MFMI_2024.pt,9944,20295,TRUE
PBSA_2024.pt,15445,31373,TRUE
POWR_2023.pt,21843,44684,TRUE
PPRO_2024.pt,44130,88695,TRUE
PUDP_2024.pt,13754,27916,TRUE
RODA_2024.pt,13879,27943,TRUE
ROTI_2021.pt,16031,32357,TRUE
SEMA_2024.pt,11701,23745,TRUE
SKRN_2024.pt,22289,45333,TRUE
SOSS_2024.pt,16210,32976,TRUE
SSMS_2022.pt,23832,48337,TRUE
SSTM_2023.pt,12265,24874,TRUE
WEGE_2021.pt,37642,75752,TRUE
