ticker,year,nodes_A,nodes_B,nodes_C,nodes_D,nodes_E,rel_A,rel_B,rel_C,rel_D,rel_E,node_growth_A_vs_A_pct,rel_growth_A_vs_A_pct,node_growth_B_vs_A_pct,rel_growth_B_vs_A_pct,node_growth_C_vs_A_pct,rel_growth_C_vs_A_pct,node_growth_D_vs_A_pct,rel_growth_D_vs_A_pct,node_growth_E_vs_A_pct,rel_growth_E_vs_A_pct
AALI,2023,23041.0,23041.0,24552.0,24552.0,23041.0,25176.0,26686.0,49726.0,72766.0,46705.0,0.0,0.0,0.0,5.997775659358119,6.5578750922269,97.5135049253257,6.5578750922269,189.02923419129328,0.0,85.51398156974896
AALI,2024,21357.0,21357.0,22785.0,22785.0,21357.0,23247.0,24674.0,46030.0,67386.0,43175.0,0.0,0.0,0.0,6.138426463629716,6.686332350049164,98.00404353249881,6.686332350049164,189.8696606013679,0.0,85.7228889749215
ABBA,2021,12397.0,12397.0,13390.0,13390.0,12397.0,13941.0,14933.0,27329.0,39725.0,25344.0,0.0,0.0,0.0,7.11570188652177,8.010002419940308,96.03328312172728,8.010002419940308,184.9508643569328,0.0,81.79470626210458
ABBA,2022,26955.0,26955.0,28896.0,28896.0,26955.0,29890.0,31830.0,58784.0,85738.0,54903.0,0.0,0.0,0.0,6.490465038474406,7.200890372843628,96.6677818668451,7.200890372843628,186.8450986952158,0.0,83.68350618936098
ABBA,2023,29240.0,29240.0,31335.0,31335.0,29240.0,32402.0,34496.0,63735.0,92974.0,59546.0,0.0,0.0,0.0,6.462564039256836,7.16484268125855,96.7008209369792,7.16484268125855,186.93907783470155,0.0,83.77260662922042
ABMM,2021,40283.0,40283.0,42930.0,42930.0,40283.0,43781.0,46427.0,86709.0,126991.0,81416.0,0.0,0.0,0.0,6.043717594390261,6.571010103517613,98.05166624791576,6.571010103517613,190.05961490144125,0.0,85.96194696329458
ABMM,2022,28747.0,28747.0,30671.0,30671.0,28747.0,31233.0,33156.0,61902.0,90648.0,58055.0,0.0,0.0,0.0,6.156949380462972,6.692872299718232,98.19421765440399,6.692872299718232,190.23148592834502,0.0,85.87711715173054
ABMM,2023,39282.0,39282.0,41842.0,41842.0,39282.0,42996.0,45555.0,84836.0,124117.0,79717.0,0.0,0.0,0.0,5.9517164387384875,6.516979787179879,97.31137780258628,6.516979787179879,188.67103916643407,0.0,85.4056191273607
ABMM,2024,30093.0,30093.0,32139.0,32139.0,30093.0,32788.0,34833.0,64925.0,95017.0,60834.0,0.0,0.0,0.0,6.237037940710016,6.7989233376532745,98.01451750640479,6.7989233376532745,189.79199707209955,0.0,85.53739172868123
ACES,2023,12307.0,12307.0,13246.0,13246.0,12307.0,13488.0,14426.0,26732.0,39038.0,24855.0,0.0,0.0,0.0,6.954329774614472,7.629804176484928,98.19098457888494,7.629804176484928,189.4276393831554,0.0,84.27491103202847
ACES,2024,17634.0,17634.0,18901.0,18901.0,17634.0,19425.0,20691.0,38324.0,55957.0,35791.0,0.0,0.0,0.0,6.517374517374518,7.184983554496995,97.29214929214929,7.184983554496995,188.06692406692406,0.0,84.25225225225226
ACST,2021,19369.0,19369.0,20674.0,20674.0,19369.0,20952.0,22256.0,41624.0,60992.0,39015.0,0.0,0.0,0.0,6.223749522718594,6.7375703443647055,98.66361206567392,6.7375703443647055,191.10347460862926,0.0,86.21134020618557
ACST,2022,21895.0,21895.0,23370.0,23370.0,21895.0,23756.0,25230.0,47124.0,69018.0,44175.0,0.0,0.0,0.0,6.204748274120223,6.736697876227449,98.36672840545546,6.736697876227449,190.5287085367907,0.0,85.95302239434248
ACST,2023,29193.0,29193.0,31171.0,31171.0,29193.0,31851.0,33828.0,63020.0,92212.0,59065.0,0.0,0.0,0.0,6.207026466986908,6.775596889665331,97.85877994411479,6.775596889665331,189.51053342124266,0.0,85.4415873912907
ACST,2024,32102.0,32102.0,34221.0,34221.0,32102.0,35202.0,37320.0,69421.0,101522.0,65184.0,0.0,0.0,0.0,6.016703596386569,6.600834838950845,97.2075450258508,6.600834838950845,188.39838645531503,0.0,85.17129708539287
ADCP,2024,32552.0,32552.0,34767.0,34767.0,32552.0,35537.0,37751.0,70302.0,102853.0,65873.0,0.0,0.0,0.0,6.230126347187438,6.804497419513394,97.82761628724991,6.804497419513394,189.42510622731237,0.0,85.3645496243352
ADES,2021,12906.0,12906.0,13689.0,13689.0,12906.0,14176.0,14958.0,27863.0,40768.0,26298.0,0.0,0.0,0.0,5.516365688487585,6.066945606694561,96.55050790067719,6.066945606694561,187.58465011286683,0.0,85.5107223476298
ADES,2022,11970.0,11970.0,12702.0,12702.0,11970.0,13142.0,13873.0,25842.0,37811.0,24379.0,0.0,0.0,0.0,5.562319281692284,6.1152882205513786,96.63673717851165,6.1152882205513786,187.711155075331,0.0,85.50448942322325
ADES,2023,13911.0,13911.0,14758.0,14758.0,13911.0,15346.0,16192.0,30102.0,44012.0,28409.0,0.0,0.0,0.0,5.512837221425778,6.088706778808137,96.15534992832009,6.088706778808137,186.7978626352144,0.0,85.12315912941483
ADES,2024,14769.0,14769.0,15651.0,15651.0,14769.0,16248.0,17129.0,31897.0,46665.0,30134.0,0.0,0.0,0.0,5.422205809945839,5.971968312004875,96.3133924175283,5.971968312004875,187.20457902511077,0.0,85.4628261939931
ADHI,2021,26267.0,26267.0,28012.0,28012.0,26267.0,28805.0,30549.0,56815.0,83081.0,53326.0,0.0,0.0,0.0,6.0545044263148755,6.6433167091788174,97.24006248915119,6.6433167091788174,188.4256205519875,0.0,85.12758201701094
ADHI,2022,62244.0,62244.0,66607.0,66607.0,62244.0,67202.0,71564.0,133807.0,196050.0,125082.0,0.0,0.0,0.0,6.4908782476712,7.009510956879378,99.11163358233385,7.009510956879378,191.7323889169965,0.0,86.1283890360406
ADHI,2024,64971.0,64971.0,69159.0,69159.0,64971.0,71013.0,75200.0,140170.0,205140.0,131795.0,0.0,0.0,0.0,5.8961035303395155,6.445952809715104,97.38639404052779,6.445952809715104,188.87668455071608,0.0,85.59277878698268
ADMG,2021,18974.0,18974.0,20236.0,20236.0,18974.0,20735.0,21996.0,40969.0,59942.0,38446.0,0.0,0.0,0.0,6.081504702194358,6.651206914725413,97.58379551483,6.651206914725413,189.08608632746564,0.0,85.41596334699783
ADMG,2022,20536.0,20536.0,21889.0,21889.0,20536.0,22624.0,23976.0,44511.0,65046.0,41806.0,0.0,0.0,0.0,5.975954738330977,6.588430074016362,96.74239745403112,6.588430074016362,187.50884016973126,0.0,84.78606789250354
ADMG,2023,21283.0,21283.0,22746.0,22746.0,21283.0,23435.0,24897.0,46179.0,67461.0,43254.0,0.0,0.0,0.0,6.238532110091743,6.874030916694076,97.05141881800725,6.874030916694076,187.86430552592276,0.0,84.57008747599744
ADMG,2024,21343.0,21343.0,22750.0,22750.0,21343.0,23489.0,24895.0,46237.0,67579.0,43424.0,0.0,0.0,0.0,5.985780578142961,6.592325352574615,96.8453318574652,6.592325352574615,187.70488313678743,0.0,84.86951338924604
ADMR,2024,26755.0,26755.0,28393.0,28393.0,26755.0,29429.0,31066.0,57820.0,84574.0,54545.0,0.0,0.0,0.0,5.562540351354107,6.122220145767146,96.4728668999966,6.122220145767146,187.3831934486391,0.0,85.34438818852152
ADRO,2021,26797.0,26797.0,28500.0,28500.0,26797.0,29341.0,31043.0,57839.0,84635.0,54434.0,0.0,0.0,0.0,5.800756620428752,6.355189013695563,97.12688729082171,6.355189013695563,188.45301796121467,0.0,85.5219658498347
ADRO,2022,23659.0,23659.0,25029.0,25029.0,23659.0,26227.0,27596.0,51254.0,74912.0,48515.0,0.0,0.0,0.0,5.219811644488504,5.790608225199713,95.42456247378655,5.790608225199713,185.62931330308461,0.0,84.98112632020437
ADRO,2023,23648.0,23648.0,25097.0,25097.0,23648.0,26005.0,27453.0,51100.0,74747.0,48203.0,0.0,0.0,0.0,5.568159969236685,6.1273680649526385,96.5006729475101,6.1273680649526385,187.4331859257835,0.0,85.36050759469333
ADRO,2024,26371.0,26371.0,27995.0,27995.0,26371.0,28944.0,30567.0,56937.0,83307.0,53690.0,0.0,0.0,0.0,5.6073797678275294,6.158279928709567,96.71434494195688,6.158279928709567,187.82131011608624,0.0,85.49613045881702
ANTM,2022,50563.0,50563.0,53635.0,53635.0,50563.0,55252.0,58323.0,108885.0,159447.0,102742.0,0.0,0.0,0.0,5.5581698400057915,6.075588869331329,97.06978932889308,6.075588869331329,188.58140881778036,0.0,85.95163975964671
APLN,2024,38143.0,38143.0,40593.0,40593.0,38143.0,41482.0,43931.0,82073.0,120215.0,77174.0,0.0,0.0,0.0,5.903765488645678,6.4231969168654794,97.85208042042332,6.4231969168654794,189.80039535220095,0.0,86.0421387589798
AUTO,2024,24322.0,24322.0,25850.0,25850.0,24322.0,26636.0,28163.0,52484.0,76805.0,49429.0,0.0,0.0,0.0,5.732842769184562,6.282378093906751,97.04159783751314,6.282378093906751,188.35035290584173,0.0,85.57215798167893
BAUT,2024,18308.0,18308.0,19533.0,19533.0,18308.0,20179.0,21403.0,39710.0,58017.0,37261.0,0.0,0.0,0.0,6.065711878685763,6.691064015730828,96.78874077010754,6.691064015730828,187.5117696615293,0.0,84.6523613657763
