ticker_and_date,ticker,report_year,ticker_fold,yoy_close_category,label,sudah_ada_graph
ADHI_2021,ADHI,2021,4,netral,1,True
ADMG_2021,ADMG,2021,2,netral,1,True
ANTM_2022,ANTM,2022,7,netral,1,False
GHON_2023,GHON,2023,9,netral,1,False
KOIN_2021,KOIN,2021,7,netral,1,False
POWR_2023,POWR,2023,6,netral,1,False
ROTI_2021,ROTI,2021,8,netral,1,False
SSMS_2022,SSMS,2022,7,netral,1,False
SSTM_2023,SSTM,2023,1,netral,1,False
WEGE_2021,WEGE,2021,0,netral,1,False
AALI_2023,AALI,2023,3,rendah,0,True
ABBA_2022,ABBA,2022,4,rendah,0,True
ABBA_2023,ABBA,2023,4,rendah,0,True
ACST_2021,ACST,2021,9,rendah,0,True
ACST_2022,ACST,2022,9,rendah,0,True
ACST_2023,ACST,2023,9,rendah,0,True
ADHI_2022,ADHI,2022,4,rendah,0,True
ADMG_2022,ADMG,2022,2,rendah,0,True
ADMG_2023,ADMG,2023,2,rendah,0,True
ADRO_2022,ADRO,2022,3,rendah,0,True
ABBA_2021,ABBA,2021,4,tinggi,2,True
ABMM_2021,ABMM,2021,6,tinggi,2,True
ABMM_2022,ABMM,2022,6,tinggi,2,True
ABMM_2023,ABMM,2023,6,tinggi,2,True
ACES_2023,ACES,2023,0,tinggi,2,True
ADES_2021,ADES,2021,7,tinggi,2,True
ADES_2022,ADES,2022,7,tinggi,2,True
ADES_2023,ADES,2023,7,tinggi,2,True
ADRO_2021,ADRO,2021,3,tinggi,2,True
ADRO_2023,ADRO,2023,3,tinggi,2,True
