ticker_and_date,ticker,report_year,close_year,close_next_year,next_year_return,next_year_return_winsor,next_year_return_scaled
AALI_2021,AALI,2021,7658.787109375,6720.90966796875,-0.1224576983290486,-0.1224576983290486,-0.015762088497851406
AALI_2022,AALI,2022,6720.90966796875,6190.6220703125,-0.0789011642551235,-0.0789011642551235,-0.01015572847230101
AALI_2023,AALI,2023,6190.6220703125,5678.8154296875,-0.0826745090900314,-0.0826745090900314,-0.010641412884406447
AALI_2024,AALI,2024,5678.8154296875,7077.333984375,0.246269415162954,0.246269415162954,0.03169845888889939
ABBA_2021,ABBA,2021,281.2664489746094,151.0,-0.4631425093519378,-0.4631425093519378,-0.05961318332071359
ABBA_2022,ABBA,2022,151.0,52.0,-0.6556291390728477,-0.6556291390728477,-0.08438901476057688
ABBA_2023,ABBA,2023,52.0,26.0,-0.5,-0.5,-0.06435727893357125
ABMM_2021,ABMM,2021,976.8627319335938,2456.369873046875,1.5145496831317922,1.5145496831317922,0.19494459283212942
ABMM_2022,ABMM,2022,2456.369873046875,2890.3232421875,0.1766645055788566,0.1766645055788566,0.02273929372639986
ABMM_2023,ABMM,2023,2890.3232421875,3263.34326171875,0.1290582361469491,0.1290582361469491,0.016611673804767826
ABMM_2024,ABMM,2024,3263.34326171875,2687.333251953125,-0.176509169759313,-0.176509169759313,-0.022719299745066375
ACES_2021,ACES,2021,1068.221923828125,424.21185302734375,-0.6028804094311037,-0.6028804094311037,-0.07759948534668637
ACES_2022,ACES,2022,424.21185302734375,646.44580078125,0.5238749133668869,0.5238749133668869,0.06743032785170643
ACES_2023,ACES,2023,646.44580078125,738.0440673828125,0.141695199335912,0.141695199335912,0.018238234934418538
ACES_2024,ACES,2024,738.0440673828125,410.0,-0.4444776157419621,-0.4444776157419621,-0.05721073979206832
ACST_2021,ACST,2021,210.0,157.0,-0.2523809523809524,-0.2523809523809524,-0.032485102699802634
ACST_2022,ACST,2022,157.0,136.0,-0.1337579617834395,-0.1337579617834395,-0.01721659691216556
ACST_2023,ACST,2023,136.0,86.0,-0.3676470588235294,-0.3676470588235294,-0.04732152862762592
ACST_2024,ACST,2024,86.0,136.0,0.5813953488372093,0.5813953488372093,0.07483404527159448
ADCP_2024,ADCP,2024,50.0,57.0,0.14,0.14,0.018020038101399953
ADES_2021,ADES,2021,3290.0,7175.0,1.180851063829787,1.180851063829787,0.15199272258779592
ADES_2022,ADES,2022,7175.0,9675.0,0.3484320557491289,0.3484320557491289,0.044848278002488674
ADES_2023,ADES,2023,9675.0,9100.0,-0.0594315245478036,-0.0594315245478036,-0.007649702405540767
ADES_2024,ADES,2024,9100.0,15425.0,0.695054945054945,0.695054945054945,0.08946368994611828
ADHI_2021,ADHI,2021,819.508544921875,484.0,-0.409402131315006,-0.409402131315006,-0.05269601432207682
ADHI_2022,ADHI,2022,484.0,312.0,-0.3553719008264462,-0.3553719008264462,-0.04574153709328204
ADHI_2023,ADHI,2023,312.0,212.0,-0.3205128205128205,-0.3205128205128205,-0.04125466598305849
ADHI_2024,ADHI,2024,212.0,268.0,0.2641509433962264,0.2641509433962264,0.034000071889433874
ADMG_2021,ADMG,2021,202.0,151.0,-0.2524752475247525,-0.2524752475247525,-0.032497239857545886
ADMG_2022,ADMG,2022,151.0,137.0,-0.0927152317880794,-0.0927152317880794,-0.011933800067152278
ADMG_2023,ADMG,2023,137.0,109.0,-0.2043795620437956,-0.2043795620437956,-0.026306624965547372
