ticker_and_date,ticker,report_year,ticker_fold,yoy_close_category,label
AALI_2021,AALI,2021,3,tinggi,2
AALI_2024,AALI,2024,3,netral,1
ABBA_2021,ABBA,2021,4,tinggi,2
ABBA_2022,ABBA,2022,4,rendah,0
ABBA_2023,ABBA,2023,4,rendah,0
ABMM_2022,ABMM,2022,6,tinggi,2
ABMM_2023,ABMM,2023,6,tinggi,2
ABMM_2024,ABMM,2024,6,rendah,0
ACES_2021,ACES,2021,0,rendah,0
ACES_2022,ACES,2022,0,rendah,0
ACES_2023,ACES,2023,0,tinggi,2
ACES_2024,ACES,2024,0,rendah,0
ACST_2021,ACST,2021,9,rendah,0
ACST_2024,ACST,2024,9,netral,1
ADCP_2024,ADCP,2024,6,netral,1
ADES_2021,ADES,2021,7,tinggi,2
ADES_2022,ADES,2022,7,tinggi,2
ADES_2023,ADES,2023,7,tinggi,2
ADHI_2021,ADHI,2021,4,netral,1
ADHI_2023,ADHI,2023,4,rendah,0
ADMG_2021,ADMG,2021,2,netral,1
ADMG_2022,ADMG,2022,2,rendah,0
ADMG_2023,ADMG,2023,2,rendah,0
ADMR_2024,ADMR,2024,9,rendah,0
ADRO_2021,ADRO,2021,3,tinggi,2
ADRO_2022,ADRO,2022,3,rendah,0
ADRO_2024,ADRO,2024,3,rendah,0
