ticker_and_date,ticker,report_year,ticker_fold,yoy_close_category,label
ACES_2021,ACES,2021,0,rendah,0
ACES_2022,ACES,2022,0,rendah,0
ACES_2023,ACES,2023,0,tinggi,2
APLN_2021,APLN,2021,0,rendah,0
APLN_2022,APLN,2022,0,tinggi,2
APLN_2023,APLN,2023,0,rendah,0
ASII_2021,ASII,2021,0,tinggi,2
ASII_2022,ASII,2022,0,netral,1
ASII_2023,ASII,2023,0,rendah,0
BLUE_2022,BLUE,2022,0,tinggi,2
BLUE_2023,BLUE,2023,0,netral,1
BOLA_2021,BOLA,2021,0,netral,1
BOLA_2022,BOLA,2022,0,rendah,0
BOLA_2023,BOLA,2023,0,rendah,0
BRMS_2021,BRMS,2021,0,tinggi,2
BRMS_2022,BRMS,2022,0,rendah,0
BRMS_2023,BRMS,2023,0,netral,1
BRNA_2021,BRNA,2021,0,rendah,0
BRNA_2022,BRNA,2022,0,rendah,0
BRNA_2023,BRNA,2023,0,rendah,0
BRPT_2021,BRPT,2021,0,rendah,0
BRPT_2022,BRPT,2022,0,netral,1
BRPT_2023,BRPT,2023,0,tinggi,2
BUDI_2021,BUDI,2021,0,tinggi,2
BUDI_2022,BUDI,2022,0,netral,1
BUDI_2023,BUDI,2023,0,tinggi,2
BUMI_2021,BUMI,2021,0,tinggi,2
BUMI_2022,BUMI,2022,0,tinggi,2
BUMI_2023,BUMI,2023,0,rendah,0
CANI_2021,CANI,2021,0,rendah,0
CANI_2022,CANI,2022,0,netral,1
CANI_2023,CANI,2023,0,rendah,0
CMPP_2021,CMPP,2021,0,tinggi,2
CMPP_2022,CMPP,2022,0,rendah,0
CMPP_2023,CMPP,2023,0,rendah,0
CSIS_2021,CSIS,2021,0,netral,1
CSIS_2022,CSIS,2022,0,rendah,0
CSIS_2023,CSIS,2023,0,rendah,0
CTBN_2021,CTBN,2021,0,rendah,0
CTBN_2022,CTBN,2022,0,netral,1
CTBN_2023,CTBN,2023,0,rendah,0
DEAL_2021,DEAL,2021,0,rendah,0
DEAL_2022,DEAL,2022,0,netral,1
DIGI_2021,DIGI,2021,0,rendah,0
DIGI_2022,DIGI,2022,0,rendah,0
DIGI_2023,DIGI,2023,0,rendah,0
DLTA_2021,DLTA,2021,0,netral,1
DLTA_2022,DLTA,2022,0,netral,1
DLTA_2023,DLTA,2023,0,rendah,0
DSSA_2021,DSSA,2021,0,tinggi,2
DSSA_2022,DSSA,2022,0,netral,1
DSSA_2023,DSSA,2023,0,tinggi,2
DUTI_2021,DUTI,2021,0,tinggi,2
DUTI_2022,DUTI,2022,0,netral,1
DUTI_2023,DUTI,2023,0,netral,1
EMTK_2021,EMTK,2021,0,rendah,0
EMTK_2022,EMTK,2022,0,rendah,0
EMTK_2023,EMTK,2023,0,rendah,0
ETWA_2021,ETWA,2021,0,netral,1
ETWA_2022,ETWA,2022,0,tinggi,2
FMII_2021,FMII,2021,0,rendah,0
FMII_2022,FMII,2022,0,tinggi,2
FMII_2023,FMII,2023,0,rendah,0
GGRP_2022,GGRP,2022,0,rendah,0
GGRP_2023,GGRP,2023,0,netral,1
HOTL_2021,HOTL,2021,0,netral,1
HOTL_2022,HOTL,2022,0,netral,1
HOTL_2023,HOTL,2023,0,netral,1
INDR_2021,INDR,2021,0,tinggi,2
INDR_2022,INDR,2022,0,rendah,0
INDR_2023,INDR,2023,0,rendah,0
INRU_2021,INRU,2021,0,rendah,0
INRU_2022,INRU,2022,0,tinggi,2
INRU_2023,INRU,2023,0,rendah,0
INTD_2021,INTD,2021,0,netral,1
INTD_2022,INTD,2022,0,rendah,0
INTD_2023,INTD,2023,0,rendah,0
ITIC_2022,ITIC,2022,0,netral,1
ITIC_2023,ITIC,2023,0,netral,1
KARW_2021,KARW,2021,0,netral,1
KARW_2022,KARW,2022,0,rendah,0
KARW_2023,KARW,2023,0,tinggi,2
KEJU_2022,KEJU,2022,0,netral,1
KEJU_2023,KEJU,2023,0,netral,1
KIOS_2023,KIOS,2023,0,rendah,0
KJEN_2022,KJEN,2022,0,rendah,0
KJEN_2023,KJEN,2023,0,rendah,0
LCKM_2023,LCKM,2023,0,netral,1
LEAD_2021,LEAD,2021,0,tinggi,2
LEAD_2022,LEAD,2022,0,rendah,0
LEAD_2023,LEAD,2023,0,tinggi,2
LMSH_2021,LMSH,2021,0,tinggi,2
LMSH_2022,LMSH,2022,0,rendah,0
LMSH_2023,LMSH,2023,0,rendah,0
LSIP_2021,LSIP,2021,0,tinggi,2
LSIP_2022,LSIP,2022,0,rendah,0
LSIP_2023,LSIP,2023,0,rendah,0
MAPA_2021,MAPA,2021,0,tinggi,2
MAPA_2022,MAPA,2022,0,tinggi,2
MAPA_2023,MAPA,2023,0,tinggi,2
MLPT_2021,MLPT,2021,0,rendah,0
MLPT_2022,MLPT,2022,0,rendah,0
MLPT_2023,MLPT,2023,0,rendah,0
MSIN_2021,MSIN,2021,0,tinggi,2
MSIN_2022,MSIN,2022,0,rendah,0
MSIN_2023,MSIN,2023,0,rendah,0
MTPS_2021,MTPS,2021,0,rendah,0
MTPS_2022,MTPS,2022,0,netral,1
MTPS_2023,MTPS,2023,0,rendah,0
NPGF_2023,NPGF,2023,0,rendah,0
PANR_2021,PANR,2021,0,tinggi,2
PANR_2022,PANR,2022,0,tinggi,2
PANR_2023,PANR,2023,0,rendah,0
PGAS_2021,PGAS,2021,0,tinggi,2
PGAS_2023,PGAS,2023,0,tinggi,2
PTIS_2021,PTIS,2021,0,rendah,0
PTIS_2022,PTIS,2022,0,tinggi,2
PTIS_2023,PTIS,2023,0,rendah,0
RDTX_2021,RDTX,2021,0,netral,1
RDTX_2022,RDTX,2022,0,tinggi,2
RDTX_2023,RDTX,2023,0,tinggi,2
RIGS_2021,RIGS,2021,0,tinggi,2
RIGS_2022,RIGS,2022,0,rendah,0
RIGS_2023,RIGS,2023,0,netral,1
SGER_2023,SGER,2023,0,tinggi,2
SHID_2021,SHID,2021,0,netral,1
SHID_2022,SHID,2022,0,tinggi,2
SHID_2023,SHID,2023,0,rendah,0
SINI_2022,SINI,2022,0,tinggi,2
SINI_2023,SINI,2023,0,rendah,0
SKRN_2021,SKRN,2021,0,tinggi,2
SKRN_2022,SKRN,2022,0,tinggi,2
SKRN_2023,SKRN,2023,0,rendah,0
SMAR_2021,SMAR,2021,0,tinggi,2
SMAR_2022,SMAR,2022,0,netral,1
SMAR_2023,SMAR,2023,0,rendah,0
SMGR_2021,SMGR,2021,0,rendah,0
SMGR_2022,SMGR,2022,0,rendah,0
SMGR_2023,SMGR,2023,0,rendah,0
SOSS_2021,SOSS,2021,0,netral,1
SOSS_2022,SOSS,2022,0,tinggi,2
SOSS_2023,SOSS,2023,0,rendah,0
SOTS_2021,SOTS,2021,0,rendah,0
SOTS_2022,SOTS,2022,0,rendah,0
SOTS_2023,SOTS,2023,0,rendah,0
SPMA_2021,SPMA,2021,0,tinggi,2
SPMA_2022,SPMA,2022,0,rendah,0
SPMA_2023,SPMA,2023,0,rendah,0
TAPG_2023,TAPG,2023,0,netral,1
TCID_2021,TCID,2021,0,netral,1
TCID_2022,TCID,2022,0,tinggi,2
TCID_2023,TCID,2023,0,rendah,0
TDPM_2021,TDPM,2021,0,netral,1
TDPM_2022,TDPM,2022,0,netral,1
TPMA_2021,TPMA,2021,0,rendah,0
TPMA_2022,TPMA,2022,0,tinggi,2
TPMA_2023,TPMA,2023,0,tinggi,2
VICI_2023,VICI,2023,0,tinggi,2
WEGE_2021,WEGE,2021,0,netral,1
WEGE_2023,WEGE,2023,0,rendah,0
WOOD_2021,WOOD,2021,0,rendah,0
WOOD_2022,WOOD,2022,0,rendah,0
WOOD_2023,WOOD,2023,0,rendah,0
AKRA_2021,AKRA,2021,1,tinggi,2
AKRA_2022,AKRA,2022,1,tinggi,2
AKRA_2023,AKRA,2023,1,tinggi,2
ALMI_2021,ALMI,2021,1,tinggi,2
ALMI_2023,ALMI,2023,1,rendah,0
ANDI_2021,ANDI,2021,1,netral,1
ANDI_2022,ANDI,2022,1,netral,1
ANDI_2023,ANDI,2023,1,rendah,0
APII_2021,APII,2021,1,tinggi,2
APII_2022,APII,2022,1,netral,1
APII_2023,APII,2023,1,netral,1
ARGO_2021,ARGO,2021,1,netral,1
ARGO_2023,ARGO,2023,1,tinggi,2
BAJA_2021,BAJA,2021,1,rendah,0
BAJA_2022,BAJA,2022,1,rendah,0
BAJA_2023,BAJA,2023,1,rendah,0
BATA_2021,BATA,2021,1,rendah,0
BATA_2023,BATA,2023,1,rendah,0
BEEF_2021,BEEF,2021,1,rendah,0
BEST_2021,BEST,2021,1,netral,1
BEST_2022,BEST,2022,1,tinggi,2
BEST_2023,BEST,2023,1,rendah,0
BMSR_2021,BMSR,2021,1,tinggi,2
BMSR_2022,BMSR,2022,1,rendah,0
BMSR_2023,BMSR,2023,1,netral,1
BSSR_2021,BSSR,2021,1,tinggi,2
BSSR_2022,BSSR,2022,1,netral,1
BSSR_2023,BSSR,2023,1,tinggi,2
CARE_2022,CARE,2022,1,netral,1
CARE_2023,CARE,2023,1,rendah,0
CASH_2022,CASH,2022,1,rendah,0
CASH_2023,CASH,2023,1,netral,1
CLAY_2021,CLAY,2021,1,rendah,0
CLAY_2022,CLAY,2022,1,rendah,0
COCO_2021,COCO,2021,1,rendah,0
COCO_2022,COCO,2022,1,tinggi,2
COCO_2023,COCO,2023,1,rendah,0
CPIN_2022,CPIN,2022,1,rendah,0
DFAM_2021,DFAM,2021,1,tinggi,2
DFAM_2022,DFAM,2022,1,rendah,0
DFAM_2023,DFAM,2023,1,rendah,0
EAST_2023,EAST,2023,1,netral,1
EDGE_2023,EDGE,2023,1,netral,1
ELTY_2021,ELTY,2021,1,netral,1
ELTY_2022,ELTY,2022,1,netral,1
ELTY_2023,ELTY,2023,1,rendah,0
ENRG_2021,ENRG,2021,1,tinggi,2
ENRG_2022,ENRG,2022,1,netral,1
ENRG_2023,ENRG,2023,1,netral,1
FILM_2021,FILM,2021,1,tinggi,2
FILM_2022,FILM,2022,1,tinggi,2
FILM_2023,FILM,2023,1,tinggi,2
GPRA_2021,GPRA,2021,1,tinggi,2
GPRA_2022,GPRA,2022,1,tinggi,2
GPRA_2023,GPRA,2023,1,rendah,0
HELI_2021,HELI,2021,1,netral,1
HELI_2022,HELI,2022,1,rendah,0
HELI_2023,HELI,2023,1,tinggi,2
INDX_2021,INDX,2021,1,tinggi,2
INDX_2022,INDX,2022,1,rendah,0
INDX_2023,INDX,2023,1,rendah,0
IRRA_2022,IRRA,2022,1,rendah,0
IRRA_2023,IRRA,2023,1,rendah,0
JECC_2022,JECC,2022,1,netral,1
JECC_2023,JECC,2023,1,rendah,0
KBAG_2022,KBAG,2022,1,netral,1
KBAG_2023,KBAG,2023,1,rendah,0
KBLV_2022,KBLV,2022,1,rendah,0
KBLV_2023,KBLV,2023,1,rendah,0
KONI_2021,KONI,2021,1,tinggi,2
KONI_2022,KONI,2022,1,rendah,0
KONI_2023,KONI,2023,1,rendah,0
LAND_2021,LAND,2021,1,tinggi,2
LAND_2022,LAND,2022,1,rendah,0
LAND_2023,LAND,2023,1,rendah,0
MAPB_2022,MAPB,2022,1,tinggi,2
MAPB_2023,MAPB,2023,1,rendah,0
MERK_2021,MERK,2021,1,tinggi,2
MERK_2022,MERK,2022,1,tinggi,2
MERK_2023,MERK,2023,1,rendah,0
MGRO_2021,MGRO,2021,1,tinggi,2
MGRO_2022,MGRO,2022,1,rendah,0
MGRO_2023,MGRO,2023,1,netral,1
MITI_2021,MITI,2021,1,tinggi,2
MITI_2022,MITI,2022,1,tinggi,2
MITI_2023,MITI,2023,1,rendah,0
MPMX_2021,MPMX,2021,1,tinggi,2
